date,rf
2010-12-28,7.669285081224331e-05
2010-12-29,7.025156924767018e-05
2010-12-30,7.67134431260974e-05
2010-12-31,7.233007004425751e-05
2011-01-03,7.028432849076616e-05
2011-01-04,7.947579724998377e-05
2011-01-05,7.58058872676326e-05
2011-01-06,7.358861676642903e-05
2011-01-07,7.592100664899348e-05
2011-01-10,6.962621292205817e-05
2011-01-11,7.43152131135183e-05
2011-01-12,7.853423337733645e-05
2011-01-13,6.78871230030964e-05
2011-01-14,7.252833524806768e-05
2011-01-17,7.361769478975155e-05
2011-01-18,7.604859086840499e-05
2011-01-19,6.505342832840988e-05
2011-01-20,7.379388744999105e-05
2011-01-21,6.823259123756031e-05
2011-01-24,6.804434538554283e-05
2011-01-25,7.637721073772141e-05
2011-01-26,6.923269591219139e-05
2011-01-27,7.328099754211337e-05
2011-01-28,7.680900837536697e-05
2011-01-31,7.475868662409901e-05
2011-02-01,7.35627848853504e-05
2011-02-02,7.322770380180366e-05
2011-02-03,7.386898203298742e-05
2011-02-04,7.029652332679603e-05
2011-02-07,7.839637011364253e-05
2011-02-08,6.960155231006127e-05
2011-02-09,8.024903047831877e-05
2011-02-10,7.067780633485121e-05
2011-02-11,7.697030168918317e-05
2011-02-14,7.665533404477287e-05
2011-02-15,7.474801492723948e-05
2011-02-16,7.409524439183635e-05
2011-02-17,7.649088057792852e-05
2011-02-18,7.87736164011843e-05
2011-02-21,7.81332748656105e-05
2011-02-22,6.866046858244879e-05
2011-02-23,7.231325580092651e-05
2011-02-24,7.15618362836512e-05
2011-02-25,7.353003228249833e-05
2011-02-28,7.389958543702058e-05
2011-03-01,7.32596032744226e-05
2011-03-02,7.479845576563449e-05
2011-03-03,7.836627971058441e-05
2011-03-04,6.931522308506466e-05
2011-03-07,7.800898450116556e-05
2011-03-08,7.507021408170722e-05
2011-03-09,7.703298533923153e-05
2011-03-10,7.727739664420419e-05
2011-03-11,7.749773062837306e-05
2011-03-14,7.689353255080356e-05
2011-03-15,7.403694058916166e-05
2011-03-16,6.806776279444371e-05
2011-03-17,7.776241774881676e-05
2011-03-18,7.648102871637974e-05
2011-03-21,7.645755279916955e-05
2011-03-22,7.553486475897486e-05
2011-03-23,7.815807458988466e-05
2011-03-24,7.530215456497125e-05
2011-03-25,7.622590889044822e-05
2011-03-28,7.543335622917091e-05
2011-03-29,7.782864089644903e-05
2011-03-30,7.867158156726894e-05
2011-03-31,6.939696257912686e-05
2011-04-01,7.902317941788084e-05
2011-04-04,7.277540048034048e-05
2011-04-05,7.577521791279906e-05
2011-04-06,7.353834523904368e-05
2011-04-07,7.205747714711386e-05
2011-04-08,7.367048653272867e-05
2011-04-11,7.384865058557288e-05
2011-04-12,7.738556383141137e-05
2011-04-13,7.361321233601004e-05
2011-04-14,6.833185409571563e-05
2011-04-15,7.786996743797125e-05
2011-04-18,7.405867711707259e-05
2011-04-19,7.4147428021476e-05
2011-04-20,7.267454557968733e-05
2011-04-21,7.23178027344229e-05
2011-04-22,8.130138726558656e-05
2011-04-25,7.669991957426348e-05
2011-04-26,7.401727973421757e-05
2011-04-27,6.526053258615327e-05
2011-04-28,6.920604035154376e-05
2011-04-29,7.887563931330277e-05
2011-05-02,7.55608657516671e-05
2011-05-03,6.598720449590978e-05
2011-05-04,7.267332384142122e-05
2011-05-05,7.669501263429801e-05
2011-05-06,7.315214632219735e-05
2011-05-09,7.17289562632839e-05
2011-05-10,7.374386545433431e-05
2011-05-11,7.600344744851384e-05
2011-05-12,7.774549744965498e-05
2011-05-13,7.650662824620902e-05
2011-05-16,7.488595361859751e-05
2011-05-17,7.88961675586286e-05
2011-05-18,7.09928115727454e-05
2011-05-19,7.937480810937814e-05
2011-05-20,7.011045816551764e-05
2011-05-23,7.412999407829801e-05
2011-05-24,7.125855991563235e-05
2011-05-25,7.105826005293636e-05
2011-05-26,7.059583913915368e-05
2011-05-27,7.3954667059839e-05
2011-05-30,7.982947853868438e-05
2011-05-31,7.082070036923405e-05
2011-06-01,7.550376911158452e-05
2011-06-02,7.841378631545659e-05
2011-06-03,7.129137691208598e-05
2011-06-06,7.471032569661418e-05
2011-06-07,6.541553927918997e-05
2011-06-08,8.032061463736362e-05
2011-06-09,7.56871086571298e-05
2011-06-10,7.88657232915213e-05
2011-06-13,7.408533468700185e-05
2011-06-14,6.705935087847337e-05
2011-06-15,7.919983714965717e-05
2011-06-16,7.771039886472764e-05
2011-06-17,6.854672224188008e-05
2011-06-20,7.893711764461742e-05
2011-06-21,6.764247220925057e-05
2011-06-22,6.758675184936891e-05
2011-06-23,8.044769423642961e-05
2011-06-24,7.69186069566885e-05
2011-06-27,7.375440306311987e-05
2011-06-28,7.620207898906273e-05
2011-06-29,7.276783000231823e-05
2011-06-30,6.994772371404778e-05
2011-07-01,7.115794709000589e-05
2011-07-04,6.777724537476715e-05
2011-07-05,6.821947771662451e-05
2011-07-06,7.795705658897312e-05
2011-07-07,7.271145440013171e-05
2011-07-08,6.804679532534941e-05
2011-07-11,7.762752169804266e-05
2011-07-12,6.759481266183087e-05
2011-07-13,7.356514360501443e-05
2011-07-14,7.80125884145555e-05
2011-07-15,6.93644043767705e-05
2011-07-18,7.698207033790538e-05
2011-07-19,6.895108122173532e-05
2011-07-20,7.386421940158705e-05
2011-07-21,7.46869529157923e-05
2011-07-22,8.05761677273864e-05
2011-07-25,7.646934158045404e-05
2011-07-26,7.14020292937878e-05
2011-07-27,6.717742142270389e-05
2011-07-28,6.92935383976856e-05
2011-07-29,7.01683756749727e-05
2011-08-01,7.032271451334893e-05
2011-08-02,7.767477111131349e-05
2011-08-03,7.268105513746903e-05
2011-08-04,7.158243946037146e-05
2011-08-05,7.283450516326617e-05
2011-08-08,7.446865211568898e-05
2011-08-09,7.122917597124356e-05
2011-08-10,7.523123590402747e-05
2011-08-11,7.596489189842792e-05
2011-08-12,7.625027471269696e-05
2011-08-15,7.96140473364737e-05
2011-08-16,7.381968859832e-05
2011-08-17,6.658351763233483e-05
2011-08-18,7.318017151702882e-05
2011-08-19,6.794323228764831e-05
2011-08-22,6.746172712546183e-05
2011-08-23,6.898610364136637e-05
2011-08-24,6.895724643740664e-05
2011-08-25,7.548786596256463e-05
2011-08-26,6.83790962781039e-05
2011-08-29,7.635107127845764e-05
2011-08-30,7.150479004813803e-05
2011-08-31,7.784126506837907e-05
2011-09-01,7.202173323905825e-05
2011-09-02,7.4385701239299e-05
2011-09-05,7.024108789255301e-05
2011-09-06,7.723189947905773e-05
2011-09-07,7.370473397561028e-05
2011-09-08,7.113466436825533e-05
2011-09-09,6.839565424798799e-05
2011-09-12,7.048666019171534e-05
2011-09-13,7.770334134815648e-05
2011-09-14,7.410627040571605e-05
2011-09-15,7.338474088403046e-05
2011-09-16,6.539272203309743e-05
2011-09-19,7.489533381921376e-05
2011-09-20,7.51324422985089e-05
2011-09-21,7.667827172408437e-05
2011-09-22,7.092886875281756e-05
2011-09-23,7.038282009630414e-05
2011-09-26,7.381103959014368e-05
2011-09-27,7.162415365313812e-05
2011-09-28,6.494402744250394e-05
2011-09-29,7.087064389543762e-05
2011-09-30,6.959955874830115e-05
2011-10-03,7.940203250833555e-05
2011-10-04,7.602512670423778e-05
2011-10-05,7.541724719084542e-05
2011-10-06,6.964115023633255e-05
2011-10-07,7.272186151685567e-05
2011-10-10,7.006319147806472e-05
2011-10-11,7.527892875147657e-05
2011-10-12,6.968238936821969e-05
2011-10-13,6.654072285172674e-05
2011-10-14,6.867151350697931e-05
2011-10-17,6.994200036825049e-05
2011-10-18,7.37954138299024e-05
2011-10-19,7.134564575639324e-05
2011-10-20,7.494442175270954e-05
2011-10-21,7.344483760629572e-05
2011-10-24,7.052413518682243e-05
2011-10-25,7.780357156050854e-05
2011-10-26,7.446669505717374e-05
2011-10-27,6.83623823962698e-05
2011-10-28,7.063530577289256e-05
2011-10-31,6.826517069002946e-05
2011-11-01,7.339994868482691e-05
2011-11-02,6.752124158548867e-05
2011-11-03,7.915099458122299e-05
2011-11-04,6.889611947058505e-05
2011-11-07,7.587045822909921e-05
2011-11-08,6.847775113438814e-05
2011-11-09,7.331234154173139e-05
2011-11-10,7.315299021093402e-05
2011-11-11,7.412787662208764e-05
2011-11-14,6.754161163846639e-05
2011-11-15,6.963273586180208e-05
2011-11-16,6.968810734542252e-05
2011-11-17,6.929418888090844e-05
2011-11-18,6.729720584264243e-05
2011-11-21,7.665324117889227e-05
2011-11-22,7.504944331704344e-05
2011-11-23,7.218296029143367e-05
2011-11-24,6.840213503012116e-05
2011-11-25,6.582099939822506e-05
2011-11-28,5.999683558521873e-05
2011-11-29,7.965171556412187e-05
2011-11-30,7.047066120446921e-05
2011-12-01,7.251022648113725e-05
2011-12-02,7.280434164025351e-05
2011-12-05,7.586249243285437e-05
2011-12-06,6.917035762010748e-05
2011-12-07,6.834373385911086e-05
2011-12-08,8.024714677978828e-05
2011-12-09,7.262406496666429e-05
2011-12-12,6.962074084704284e-05
2011-12-13,6.966272487529679e-05
2011-12-14,6.489647442409208e-05
2011-12-15,7.715417850073791e-05
2011-12-16,7.152920838260357e-05
2011-12-19,6.566808970864813e-05
2011-12-20,7.921964538937232e-05
2011-12-21,7.283476532293776e-05
2011-12-22,7.475477483209758e-05
2011-12-23,6.869680949694867e-05
2011-12-26,6.659454756507976e-05
2011-12-27,6.79497884541469e-05
2011-12-28,6.779005665569215e-05
2011-12-29,6.851462852663914e-05
2011-12-30,6.429587573419937e-05
2012-01-02,6.789224726122534e-05
2012-01-03,6.924141245390203e-05
2012-01-04,7.337521957517801e-05
2012-01-05,7.222101512116552e-05
2012-01-06,7.108050730697535e-05
2012-01-09,6.87763946256581e-05
2012-01-10,6.969149806601571e-05
2012-01-11,6.843068363981963e-05
2012-01-12,6.914397037238729e-05
2012-01-13,6.289199688080949e-05
2012-01-16,7.00257603352128e-05
2012-01-17,6.791193694866138e-05
2012-01-18,6.859434255690466e-05
2012-01-19,7.373457086345958e-05
2012-01-20,6.913087131432682e-05
2012-01-23,7.149738977063613e-05
2012-01-24,6.0860810147556066e-05
2012-01-25,7.806985592817561e-05
2012-01-26,7.37996011397346e-05
2012-01-27,6.932409063376e-05
2012-01-30,7.133465350750434e-05
2012-01-31,7.502075386489615e-05
2012-02-01,6.310464859371478e-05
2012-02-02,7.177151715676011e-05
2012-02-03,7.18384526579019e-05
2012-02-06,6.652309953159019e-05
2012-02-07,7.270505170109409e-05
2012-02-08,6.879887312205568e-05
2012-02-09,6.846563170226361e-05
2012-02-10,7.5210351089261e-05
2012-02-13,6.25769873727755e-05
2012-02-14,7.239219100507732e-05
2012-02-15,6.804344217026248e-05
2012-02-16,7.141386556286378e-05
2012-02-17,7.017250369334427e-05
2012-02-20,6.386253531287522e-05
2012-02-21,6.725206473578993e-05
2012-02-22,7.337846566324302e-05
2012-02-23,6.629609588060248e-05
2012-02-24,7.30180416095294e-05
2012-02-27,6.888281508121707e-05
2012-02-28,7.265084869123584e-05
2012-02-29,7.415070653937761e-05
2012-03-01,6.453867821099024e-05
2012-03-02,7.222016758756666e-05
2012-03-05,6.925022309589579e-05
2012-03-06,7.435395098043251e-05
2012-03-07,7.001291763875095e-05
2012-03-08,7.287766891339587e-05
2012-03-09,6.968437932530769e-05
2012-03-12,7.113620554122235e-05
2012-03-13,6.900847452784298e-05
2012-03-14,7.187338596370552e-05
2012-03-15,6.792110041531352e-05
2012-03-16,7.217122028757572e-05
2012-03-19,7.024059473237365e-05
2012-03-20,7.697449425481118e-05
2012-03-21,6.673137827983844e-05
2012-03-22,7.0293902608487e-05
2012-03-23,7.726236150729093e-05
2012-03-26,7.486382154975324e-05
2012-03-27,6.643570164066581e-05
2012-03-28,7.397817831789055e-05
2012-03-29,8.087218132080132e-05
2012-03-30,6.830135419733097e-05
2012-04-02,6.487779345554223e-05
2012-04-03,6.545534960933352e-05
2012-04-04,7.43466516572866e-05
2012-04-05,6.34277777942227e-05
2012-04-06,7.035895156048966e-05
2012-04-09,7.14276931099711e-05
2012-04-10,6.750609286765297e-05
2012-04-11,7.028816058252119e-05
2012-04-12,6.763862378300622e-05
2012-04-13,7.174513015972828e-05
2012-04-16,6.950122586935059e-05
2012-04-17,7.008173742040213e-05
2012-04-18,6.330471948201577e-05
2012-04-19,7.071138239567176e-05
2012-04-20,7.177678424308276e-05
2012-04-23,7.64980365057788e-05
2012-04-24,7.039708420730761e-05
2012-04-25,6.522885958792912e-05
2012-04-26,6.55800610036561e-05
2012-04-27,7.161406478872756e-05
2012-04-30,6.946897601589619e-05
2012-05-01,7.66467422055328e-05
2012-05-02,6.680241497303285e-05
2012-05-03,7.465968686926061e-05
2012-05-04,6.760245559700451e-05
2012-05-07,6.842501369885845e-05
2012-05-08,7.178732630230833e-05
2012-05-09,6.89480477094051e-05
2012-05-10,6.376242442973634e-05
2012-05-11,6.714117666839492e-05
2012-05-14,6.755679914127732e-05
2012-05-15,7.10534264916074e-05
2012-05-16,6.50955479819526e-05
2012-05-17,7.101758776051348e-05
2012-05-18,6.711155950456238e-05
2012-05-21,6.536293213432742e-05
2012-05-22,7.125335593394233e-05
2012-05-23,6.55709010128902e-05
2012-05-24,6.413678907501996e-05
2012-05-25,6.94354482870807e-05
2012-05-28,7.021895170944426e-05
2012-05-29,6.11182299234958e-05
2012-05-30,6.677379505992675e-05
2012-05-31,6.293629209763729e-05
2012-06-01,6.736496579606843e-05
2012-06-04,6.297727659942964e-05
2012-06-05,6.66387418868375e-05
2012-06-06,6.390254809751639e-05
2012-06-07,6.823783036580267e-05
2012-06-08,6.269201819231185e-05
2012-06-11,6.769770343795223e-05
2012-06-12,6.765672161579417e-05
2012-06-13,6.80698446304806e-05
2012-06-14,7.236469529359191e-05
2012-06-15,7.14976636198017e-05
2012-06-18,6.694732592760211e-05
2012-06-19,7.200592689882157e-05
2012-06-20,7.681294841233033e-05
2012-06-21,6.550649807990361e-05
2012-06-22,7.314160550042637e-05
2012-06-25,6.54869410561254e-05
2012-06-26,6.37385192707729e-05
2012-06-27,6.453910033377142e-05
2012-06-28,6.771531355909133e-05
2012-06-29,6.564086280458348e-05
2012-07-02,6.252006283724576e-05
2012-07-03,7.464432802217758e-05
2012-07-04,7.194913122554603e-05
2012-07-05,7.055332919625457e-05
2012-07-06,6.412269979882979e-05
2012-07-09,7.8466663502752e-05
2012-07-10,7.049048258656043e-05
2012-07-11,7.161453285142727e-05
2012-07-12,7.345064274111301e-05
2012-07-13,6.707935806149479e-05
2012-07-16,6.662573589699683e-05
2012-07-17,6.528729136068279e-05
2012-07-18,7.489501502599971e-05
2012-07-19,7.719262108363267e-05
2012-07-20,6.633289759272465e-05
2012-07-23,6.530549780925377e-05
2012-07-24,7.293673777897247e-05
2012-07-25,7.098372563674182e-05
2012-07-26,6.393814368088613e-05
2012-07-27,6.713137032332561e-05
2012-07-30,6.711828931926789e-05
2012-07-31,7.105077662372672e-05
2012-08-01,6.875456816168857e-05
2012-08-02,7.066947799594381e-05
2012-08-03,6.642251003108335e-05
2012-08-06,7.142887843181178e-05
2012-08-07,7.341159307405754e-05
2012-08-08,6.982267258881514e-05
2012-08-09,6.657331543347134e-05
2012-08-10,6.887175214997932e-05
2012-08-13,6.506367123715329e-05
2012-08-14,6.983816428807188e-05
2012-08-15,6.547333807493949e-05
2012-08-16,6.983516744529794e-05
2012-08-17,6.776377856598792e-05
2012-08-20,7.127149438823643e-05
2012-08-21,7.145736247382573e-05
2012-08-22,5.8960518338757595e-05
2012-08-23,6.540261362020239e-05
2012-08-24,7.232638382137502e-05
2012-08-27,6.934403904201858e-05
2012-08-28,6.999428335330293e-05
2012-08-29,7.124777500355783e-05
2012-08-30,6.53676074795495e-05
2012-08-31,6.583667480986044e-05
2012-09-03,7.014681116035426e-05
2012-09-04,7.355195095248845e-05
2012-09-05,6.50218405136016e-05
2012-09-06,7.254266884748617e-05
2012-09-07,7.008249632933783e-05
2012-09-10,6.932374534951435e-05
2012-09-11,6.69800009449606e-05
2012-09-12,6.812809371981032e-05
2012-09-13,6.977242989170129e-05
2012-09-14,6.743397658048877e-05
2012-09-17,6.178983068449995e-05
2012-09-18,6.634173773711893e-05
2012-09-19,7.475027528180966e-05
2012-09-20,6.291213154541175e-05
2012-09-21,6.952683684091632e-05
2012-09-24,6.522355024829452e-05
2012-09-25,6.563442539730957e-05
2012-09-26,7.182834798613591e-05
2012-09-27,7.185885130067682e-05
2012-09-28,7.178325115919648e-05
2012-10-01,6.933255118091175e-05
2012-10-02,6.56062627939491e-05
2012-10-03,6.739527608412565e-05
2012-10-04,6.688766952755998e-05
2012-10-05,6.557915241911516e-05
2012-10-08,6.800022815167672e-05
2012-10-09,6.939852889709108e-05
2012-10-10,6.373392498804087e-05
2012-10-11,6.489448908286732e-05
2012-10-12,7.169290570696596e-05
2012-10-15,7.37007409687962e-05
2012-10-16,7.060297026439954e-05
2012-10-17,6.751262387560963e-05
2012-10-18,7.19118509393546e-05
2012-10-19,7.318063730554769e-05
2012-10-22,6.258281819904177e-05
2012-10-23,6.548974411257902e-05
2012-10-24,7.360463424110897e-05
2012-10-25,6.955486828696955e-05
2012-10-26,7.244685646501381e-05
2012-10-29,7.002739701222893e-05
2012-10-30,6.288961790290593e-05
2012-10-31,6.389848163879108e-05
2012-11-01,6.809089004322644e-05
2012-11-02,6.445475520355792e-05
2012-11-05,6.841283055458725e-05
2012-11-06,6.811920273119831e-05
2012-11-07,6.304104382559572e-05
2012-11-08,6.901485613530767e-05
2012-11-09,6.780417817786599e-05
2012-11-12,7.125827168463772e-05
2012-11-13,6.499504907719889e-05
2012-11-14,6.583040046459487e-05
2012-11-15,6.531196518633209e-05
2012-11-16,6.260694311843729e-05
2012-11-19,6.7234715379616e-05
2012-11-20,6.904626143056092e-05
2012-11-21,6.479218145893917e-05
2012-11-22,6.581801336280613e-05
2012-11-23,6.332741785630702e-05
2012-11-26,6.73143904024176e-05
2012-11-27,6.490851332729974e-05
2012-11-28,6.923026636096452e-05
2012-11-29,6.937987630339926e-05
2012-11-30,6.895850181609653e-05
2012-12-03,7.079695835199296e-05
2012-12-04,6.430276737567908e-05
2012-12-05,6.346009440671985e-05
2012-12-06,6.892842135619581e-05
2012-12-07,6.825372874086355e-05
2012-12-10,6.401657072774292e-05
2012-12-11,6.491865483893022e-05
2012-12-12,6.844982521259091e-05
2012-12-13,6.920948932620519e-05
2012-12-14,6.255976600044733e-05
2012-12-17,6.75785190771272e-05
2012-12-18,6.508059449905623e-05
2012-12-19,7.150386283760746e-05
2012-12-20,7.118794298555109e-05
2012-12-21,6.764764477940055e-05
2012-12-24,7.558770157189976e-05
2012-12-25,7.149716287613295e-05
